date,rate
01.01.2010,7.985
02.01.2010,7.985
03.01.2010,7.985
04.01.2010,7.985
05.01.2010,7.985
06.01.2010,7.985
07.01.2010,7.985
08.01.2010,7.985
09.01.2010,7.985
10.01.2010,7.985
11.01.2010,7.985
12.01.2010,7.9905
13.01.2010,7.9984
14.01.2010,8.004
15.01.2010,8.0024
16.01.2010,8.0024
17.01.2010,8.0024
18.01.2010,8.0012
19.01.2010,8.0012
20.01.2010,8.0055
21.01.2010,8.0055
22.01.2010,8.01
23.01.2010,8.01
24.01.2010,8.01
25.01.2010,8.0084
26.01.2010,8.008
27.01.2010,8.0048
28.01.2010,8.0024
29.01.2010,8.0012
30.01.2010,8.0012
31.01.2010,8.0012
01.02.2010,7.999
02.02.2010,7.9993
03.02.2010,8.0004
04.02.2010,8.0012
05.02.2010,8.0012
06.02.2010,8.0012
07.02.2010,8.0012
08.02.2010,8.0004
09.02.2010,8.0074
10.02.2010,8.0093
11.02.2010,8.01
12.02.2010,8.01
13.02.2010,8.01
14.02.2010,8.01
15.02.2010,8.0025
16.02.2010,8.002
17.02.2010,8.0024
18.02.2010,8.0024
19.02.2010,7.9997
20.02.2010,7.9997
21.02.2010,7.9997
22.02.2010,7.998
23.02.2010,7.9903
24.02.2010,7.99
25.02.2010,7.99
26.02.2010,7.99
27.02.2010,7.99
28.02.2010,7.99
01.03.2010,7.99
02.03.2010,7.99
03.03.2010,7.985
04.03.2010,7.984
05.03.2010,7.9842
06.03.2010,7.9842
07.03.2010,7.9842
08.03.2010,7.9842
09.03.2010,7.9838
10.03.2010,7.984
11.03.2010,7.9824
12.03.2010,7.9804
13.03.2010,7.978
14.03.2010,7.978
15.03.2010,7.978
16.03.2010,7.9767
17.03.2010,7.9767
18.03.2010,7.976
19.03.2010,7.976
20.03.2010,7.976
21.03.2010,7.976
22.03.2010,7.9602
23.03.2010,7.9544
24.03.2010,7.9501
25.03.2010,7.935
26.03.2010,7.931
27.03.2010,7.931
28.03.2010,7.931
29.03.2010,7.93
30.03.2010,7.925
31.03.2010,7.925
01.04.2010,7.925
02.04.2010,7.925
03.04.2010,7.925
04.04.2010,7.925
05.04.2010,7.925
06.04.2010,7.925
07.04.2010,7.925
08.04.2010,7.9242
09.04.2010,7.9263
10.04.2010,7.9265
11.04.2010,7.9265
12.04.2010,7.9265
13.04.2010,7.9265
14.04.2010,7.9263
15.04.2010,7.9263
16.04.2010,7.9258
17.04.2010,7.9258
18.04.2010,7.9258
19.04.2010,7.9258
20.04.2010,7.9259
21.04.2010,7.9256
22.04.2010,7.926
23.04.2010,7.9258
24.04.2010,7.9258
25.04.2010,7.9258
26.04.2010,7.9258
27.04.2010,7.9261
28.04.2010,7.9259
29.04.2010,7.9259
30.04.2010,7.9259
01.05.2010,7.9259
02.05.2010,7.9259
03.05.2010,7.9259
04.05.2010,7.9259
05.05.2010,7.9259
06.05.2010,7.9259
07.05.2010,7.9259
08.05.2010,7.9259
09.05.2010,7.9259
10.05.2010,7.9259
11.05.2010,7.9259
12.05.2010,7.9259
13.05.2010,7.9259
14.05.2010,7.9259
15.05.2010,7.9259
16.05.2010,7.9259
17.05.2010,7.9259
18.05.2010,7.9259
19.05.2010,7.9259
20.05.2010,7.9257
21.05.2010,7.9257
22.05.2010,7.9257
23.05.2010,7.9257
24.05.2010,7.9257
25.05.2010,7.9255
26.05.2010,7.9255
27.05.2010,7.9254
28.05.2010,7.9251
29.05.2010,7.9251
30.05.2010,7.9251
31.05.2010,7.9251
01.06.2010,7.9251
02.06.2010,7.9251
03.06.2010,7.9256
04.06.2010,7.9253
05.06.2010,7.9253
06.06.2010,7.9253
07.06.2010,7.9213
08.06.2010,7.921
09.06.2010,7.9194
10.06.2010,7.9181
11.06.2010,7.9169
12.06.2010,7.9169
13.06.2010,7.9169
14.06.2010,7.9158
15.06.2010,7.9149
16.06.2010,7.9142
17.06.2010,7.9129
18.06.2010,7.9124
19.06.2010,7.9124
20.06.2010,7.9124
21.06.2010,7.9119
22.06.2010,7.9107
23.06.2010,7.9104
24.06.2010,7.9098
25.06.2010,7.9094
26.06.2010,7.9094
27.06.2010,7.9094
28.06.2010,7.9094
29.06.2010,7.9074
30.06.2010,7.907
01.07.2010,7.9053
02.07.2010,7.9087
03.07.2010,7.9087
04.07.2010,7.9087
05.07.2010,7.9105
06.07.2010,7.9096
07.07.2010,7.9084
08.07.2010,7.9072
09.07.2010,7.9058
10.07.2010,7.9058
11.07.2010,7.9058
12.07.2010,7.9038
13.07.2010,7.9032
14.07.2010,7.9022
15.07.2010,7.9017
16.07.2010,7.9008
17.07.2010,7.9008
18.07.2010,7.9008
