date,forecast
27.10.2018,6179.84971244436
27.10.2019,23334.103438432183
27.10.2020,9781.753173809477
27.10.2021,25269.064629636607
27.10.2022,43459.482763628526
27.10.2023,46022.39496375244
27.10.2024,39683.16967696047
27.11.2017,30225.721503795314
27.11.2018,17523.888634737876
27.11.2019,10763.523362831598
27.11.2020,14315.73835954439
27.11.2021,24851.998819570494
27.11.2022,36439.86480126101
27.11.2023,43316.90702836471
27.11.2024,41602.52379777479
27.12.2017,32402.249109963945
27.12.2018,21066.614025641582
27.12.2019,13783.436517054688
27.12.2020,14327.53245594896
27.12.2021,22211.505135623815
27.12.2022,32949.212304238215
27.12.2023,40616.986935180204
27.12.2024,41151.95993646484
28.01.2017,34478.92135729226
28.01.2018,24423.51067068171
28.01.2019,16537.913965240743
28.01.2020,15036.503710074088
28.01.2021,20545.073828417713
28.01.2022,29870.040268751236
28.01.2023,37843.15327695638
28.01.2024,40180.42301007954
28.01.2025,35779.76157811026
28.02.2017,27225.61429250549
28.02.2018,19278.754869000204
28.02.2019,16230.671550166044
28.02.2020,19590.369452040854
28.02.2021,27347.735853810766
28.02.2022,35166.91919909227
28.02.2023,38805.939238460705
28.02.2024,36414.25228915404
28.02.2025,29465.982201028943
28.03.2017,21862.876420427063
28.03.2018,17747.163264732942
28.03.2019,19248.246111276476
28.03.2020,25387.11132873507
28.03.2021,32698.545905994823
28.03.2022,37183.28037365822
28.03.2023,36492.38948069782
28.03.2024,31152.576957317488
28.03.2025,24196.07577868749
28.04.2017,19442.730695301565
28.04.2018,19405.446491326515
28.04.2019,23965.893110658362
28.04.2020,30515.973652301742
28.04.2021,35445.279424337474
28.04.2022,36128.37702554407
28.04.2023,32319.583537300397
28.04.2024,26216.282377122006
28.04.2025,21195.560683817195
28.05.2017,19948.23571025353
28.05.2018,23039.84808717988
28.05.2019,28666.418601496945
28.05.2020,33702.31616703959
28.05.2021,35434.042776091774
28.05.2022,33019.593075706936
28.05.2023,27890.07368417903
28.05.2024,22906.86767569544
28.06.2017,20767.95404119989
28.06.2018,22549.656555762027
28.06.2019,27170.619275273028
28.06.2020,32041.589179573544
28.06.2021,34513.80721500277
28.06.2022,33317.11724722954
28.06.2023,29208.241761640813
28.06.2024,24500.883113038028
28.07.2017,21765.31528264108
28.07.2018,22427.046171645132
28.07.2019,26027.42857079878
28.07.2020,30527.726649607543
28.07.2021,33461.09510053487
