date,forecast
27.10.2018,21895.50234285138
27.10.2019,21846.864245033517
27.10.2020,21798.22614721565
27.10.2021,21749.588049397782
27.10.2022,21700.949951579918
27.10.2023,21652.31185376205
27.10.2024,21603.673755944183
27.11.2017,21555.03565812632
27.11.2018,21506.39756030845
27.11.2019,21457.759462490583
27.11.2020,21409.12136467272
27.11.2021,21360.48326685485
27.11.2022,21311.845169036984
27.11.2023,21263.20707121912
27.11.2024,21214.568973401252
27.12.2017,21165.930875583384
27.12.2018,21117.292777765517
27.12.2019,21068.654679947653
27.12.2020,21020.016582129785
27.12.2021,20971.378484311917
27.12.2022,20922.740386494053
27.12.2023,20874.102288676186
27.12.2024,20825.464190858318
28.01.2017,20776.826093040454
28.01.2018,20728.187995222586
28.01.2019,20679.54989740472
28.01.2020,20630.911799586855
28.01.2021,20582.273701768987
28.01.2022,20533.63560395112
28.01.2023,20484.997506133255
28.01.2024,20436.359408315388
28.01.2025,20387.72131049752
28.02.2017,20339.083212679656
28.02.2018,20290.445114861788
28.02.2019,20241.80701704392
28.02.2020,20193.168919226056
28.02.2021,20144.53082140819
28.02.2022,20095.89272359032
28.02.2023,20047.254625772457
28.02.2024,19998.61652795459
28.02.2025,19949.97843013672
28.03.2017,19901.340332318858
28.03.2018,19852.70223450099
28.03.2019,19804.064136683122
28.03.2020,19755.426038865255
28.03.2021,19706.78794104739
28.03.2022,19658.149843229523
28.03.2023,19609.511745411655
28.03.2024,19560.87364759379
28.03.2025,19512.235549775924
28.04.2017,19463.597451958056
28.04.2018,19414.959354140192
28.04.2019,19366.321256322324
28.04.2020,19317.683158504457
28.04.2021,19269.045060686592
28.04.2022,19220.406962868725
28.04.2023,19171.768865050857
28.04.2024,19123.130767232993
28.04.2025,19074.492669415125
28.05.2017,19025.854571597258
28.05.2018,18977.216473779394
28.05.2019,18928.578375961526
28.05.2020,18879.94027814366
28.05.2021,18831.302180325794
28.05.2022,18782.664082507927
28.05.2023,18734.02598469006
28.05.2024,18685.387886872195
28.06.2017,18636.749789054327
28.06.2018,18588.11169123646
28.06.2019,18539.473593418596
28.06.2020,18490.835495600728
28.06.2021,18442.19739778286
28.06.2022,18393.559299964996
28.06.2023,18344.92120214713
28.06.2024,18296.28310432926
28.07.2017,18247.645006511397
28.07.2018,18199.00690869353
28.07.2019,18150.36881087566
28.07.2020,18101.730713057797
28.07.2021,18053.09261523993
28.07.2022,18004.454517422062
28.07.2023,17955.816419604194
28.07.2024,17907.17832178633
28.08.2017,17858.540223968463
28.08.2018,17809.9021261506
28.08.2019,17761.26402833273
28.08.2020,17712.625930514863
28.08.2021,17663.987832696996
28.08.2022,17615.34973487913
28.08.2023,17566.711637061264
28.08.2024,17518.073539243396
28.09.2017,17469.435441425532
28.09.2018,17420.797343607665
28.09.2019,17372.159245789797
28.09.2020,17323.52114797193
28.09.2021,17274.883050154065
28.09.2022,17226.244952336197
28.09.2023,17177.60685451833
28.09.2024,17128.968756700466
28.10.2017,17080.330658882598
28.10.2018,17031.69256106473
28.10.2019,16983.054463246866
28.10.2020,16934.416365429
28.10.2021,16885.77826761113
28.10.2022,16837.140169793267
28.10.2023,16788.5020719754
28.10.2024,16739.86397415753
28.11.2017,16691.225876339668
28.11.2018,16642.5877785218
28.11.2019,16593.949680703932
28.11.2020,16545.31158288607
28.11.2021,16496.6734850682
28.11.2022,16448.035387250333
28.11.2023,16399.39728943247
28.11.2024,16350.759191614601
28.12.2017,16302.121093796735
28.12.2018,16253.48299597887
28.12.2019,16204.844898161002
28.12.2020,16156.206800343134
28.12.2021,16107.56870252527
28.12.2022,16058.930604707402
28.12.2023,16010.292506889535
28.12.2024,15961.65440907167
29.01.2017,15913.016311253803
29.01.2018,15864.378213435935
29.01.2019,15815.74011561807
29.01.2020,15767.102017800204
29.01.2021,15718.463919982336
29.01.2022,15669.82582216447
29.01.2023,15621.187724346604
29.01.2024,15572.549626528737
29.01.2025,15523.91152871087
29.02.2020,15475.273430893005
29.02.2024,15426.635333075137
29.03.2017,15377.997235257271
29.03.2018,15329.359137439405
29.03.2019,15280.721039621538
29.03.2020,15232.082941803672
29.03.2021,15183.444843985806
29.03.2022,15134.806746167938
29.03.2023,15086.168648350073
29.03.2024,15037.530550532207
29.03.2025,14988.892452714339
29.04.2017,14940.254354896473
29.04.2018,14891.616257078607
29.04.2019,14842.97815926074
29.04.2020,14794.340061442872
29.04.2021,14745.701963625008
29.04.2022,14697.06386580714
29.04.2023,14648.425767989273
29.04.2024,14599.787670171409
29.04.2025,14551.14957235354
29.05.2017,14502.511474535673
29.05.2018,14453.87337671781
29.05.2019,14405.235278899941
29.05.2020,14356.597181082074
29.05.2021,14307.959083264208
29.05.2022,14259.320985446342
29.05.2023,14210.682887628474
29.05.2024,14162.044789810609
29.06.2017,14113.406691992743
29.06.2018,14064.768594174875
29.06.2019,14016.13049635701
29.06.2020,13967.492398539143
29.06.2021,13918.854300721276
29.06.2022,13870.21620290341
29.06.2023,13821.578105085544
29.06.2024,13772.940007267676
29.07.2017,13724.30190944981
29.07.2018,13675.663811631945
29.07.2019,13627.025713814077
29.07.2020,13578.387615996211
29.07.2021,13529.749518178345
29.07.2022,13481.111420360477
29.07.2023,13432.473322542612
29.07.2024,13383.835224724744
29.08.2017,13335.197126906878
29.08.2018,13286.559029089012
29.08.2019,13237.920931271145
29.08.2020,13189.282833453279
29.08.2021,13140.644735635413
29.08.2022,13092.006637817545
29.08.2023,13043.36853999968
29.08.2024,12994.730442181813
29.09.2017,12946.092344363946
29.09.2018,12897.45424654608
29.09.2019,12848.816148728214
29.09.2020,12800.178050910346
29.09.2021,12751.53995309248
29.09.2022,12702.901855274613
29.09.2023,12654.263757456747
29.09.2024,12605.625659638881
29.10.2017,12556.987561821014
29.10.2018,12508.349464003148
29.10.2019,12459.711366185282
29.10.2020,12411.073268367414
29.10.2021,12362.435170549548
29.10.2022,12313.797072731682
29.10.2023,12265.158974913815
29.10.2024,12216.520877095949
29.11.2017,12167.882779278083
29.11.2018,12119.244681460215
29.11.2019,12070.60658364235
29.11.2020,12021.968485824482
29.11.2021,11973.330388006616
29.11.2022,11924.69229018875
29.11.2023,11876.054192370882
29.11.2024,11827.416094553017
29.12.2017,11778.77799673515
29.12.2018,11730.139898917283
29.12.2019,11681.501801099417
29.12.2020,11632.863703281551
29.12.2021,11584.225605463684
29.12.2022,11535.587507645818
29.12.2023,11486.949409827952
29.12.2024,11438.311312010084
30.01.2017,11389.673214192218
30.01.2018,11341.035116374353
30.01.2019,11292.397018556485
30.01.2020,11243.758920738619
30.01.2021,11195.120822920751
30.01.2022,11146.482725102886
30.01.2023,11097.84462728502
30.01.2024,11049.206529467152
30.01.2025,11000.568431649286
30.03.2017,10951.93033383142
30.03.2018,10903.292236013553
30.03.2019,10854.654138195687
30.03.2020,10806.01604037782
30.03.2021,10757.377942559953
30.03.2022,10708.739844742087
30.03.2023,10660.101746924222
30.03.2024,10611.463649106354
30.03.2025,10562.825551288488
30.04.2017,10514.18745347062
30.04.2018,10465.549355652754
30.04.2019,10416.911257834889
30.04.2020,10368.273160017021
30.04.2021,10319.635062199155
