date,forecast
27.10.2018,5764.6
27.10.2019,6494.2
27.10.2020,9529.6
27.10.2021,13657.8
27.10.2022,58438.1
27.10.2023,20292.9
27.10.2024,33901.8
27.11.2017,68004.6
27.11.2018,9733.2
27.11.2019,3866.5
27.11.2020,7510.6
27.11.2021,17127.1
27.11.2022,54765.9
27.11.2023,16425.6
27.11.2024,37248.6
27.12.2017,95886.6
27.12.2018,15416.6
27.12.2019,3586.9
27.12.2020,7261.7
27.12.2021,26261.3
27.12.2022,50678.2
27.12.2023,16706.1
27.12.2024,43446.5
28.01.2017,94275.9
28.01.2018,918.5
28.01.2019,11795.1
28.01.2020,3442.8
28.01.2021,9377.3
28.01.2022,33374.8
28.01.2023,37745.1
28.01.2024,23027.9
28.01.2025,42030.7
28.02.2017,101349.3
28.02.2018,1189.3
28.02.2019,10333.9
28.02.2020,3816.6
28.02.2021,8697.5
28.02.2022,45164.0
28.02.2023,43188.2
28.02.2024,23130.5
28.02.2025,62467.6
28.03.2017,84381.2
28.03.2018,1044.4
28.03.2019,7954.9
28.03.2020,4025.6
28.03.2021,6233.7
28.03.2022,55765.2
28.03.2023,47105.0
28.03.2024,27262.2
28.03.2025,70762.1
28.04.2017,84410.4
28.04.2018,1329.6
28.04.2019,9352.4
28.04.2020,5302.3
28.04.2021,7746.9
28.04.2022,54841.4
28.04.2023,39748.0
28.04.2024,29321.8
28.04.2025,63109.7
28.05.2017,94995.0
28.05.2018,2189.0
28.05.2019,7119.3
28.05.2020,8716.3
28.05.2021,9572.2
28.05.2022,35662.5
28.05.2023,29027.1
28.05.2024,28071.2
28.06.2017,68366.0
28.06.2018,2577.7
28.06.2019,5883.5
28.06.2020,12409.1
28.06.2021,9124.0
28.06.2022,34475.9
28.06.2023,20278.0
28.06.2024,30078.6
28.07.2017,60403.3
28.07.2018,2806.8
28.07.2019,8234.1
28.07.2020,9727.8
28.07.2021,10908.5
28.07.2022,40003.2
28.07.2023,23850.0
28.07.2024,29315.0
28.08.2017,68256.3
28.08.2018,4390.3
28.08.2019,7074.6
28.08.2020,9729.4
28.08.2021,11527.4
28.08.2022,48897.1
28.08.2023,19550.2
28.08.2024,26118.9
28.09.2017,59016.0
28.09.2018,4195.6
28.09.2019,6636.0
28.09.2020,8208.5
28.09.2021,10693.2
28.09.2022,41022.3
28.09.2023,19411.0
28.09.2024,27022.6
28.10.2017,65866.5
28.10.2018,5726.6
28.10.2019,6486.1
28.10.2020,9207.2
28.10.2021,13278.9
28.10.2022,60582.5
28.10.2023,20594.4
28.10.2024,34082.6
28.11.2017,69954.1
28.11.2018,9906.0
28.11.2019,4265.4
28.11.2020,7426.7
28.11.2021,17730.7
28.11.2022,57291.5
28.11.2023,16211.7
28.11.2024,37823.3
28.12.2017,95645.5
28.12.2018,14398.7
28.12.2019,3861.6
28.12.2020,7321.5
28.12.2021,27057.8
28.12.2022,47545.2
28.12.2023,16546.2
28.12.2024,42581.1
29.01.2017,95284.5
29.01.2018,914.5
29.01.2019,11244.8
29.01.2020,3414.8
29.01.2021,9298.9
29.01.2022,34301.8
29.01.2023,38170.8
29.01.2024,23753.1
29.01.2025,43299.8
29.02.2020,103722.0
29.02.2024,8543.7
29.03.2017,61169.3
29.03.2018,1041.9
29.03.2019,7129.2
29.03.2020,4102.2
29.03.2021,5890.4
29.03.2022,57616.2
29.03.2023,47449.0
29.03.2024,28350.4
29.03.2025,69871.7
29.04.2017,82645.7
29.04.2018,1336.3
29.04.2019,9415.1
29.04.2020,5235.0
29.04.2021,8770.9
29.04.2022,53560.8
29.04.2023,38581.0
29.04.2024,29234.1
29.04.2025,63860.1
29.05.2017,94269.8
29.05.2018,2278.2
29.05.2019,7467.7
29.05.2020,8647.8
29.05.2021,9424.8
29.05.2022,34584.6
29.05.2023,29465.2
29.05.2024,27739.4
29.06.2017,67635.8
29.06.2018,2558.4
29.06.2019,6213.3
29.06.2020,11906.5
29.06.2021,9185.4
29.06.2022,35834.7
